sentence, label
Bạn có thể làm được gì, 1
Bạn giúp được gì không, 1
Bạn có thể làm được gì, 1
giúp được gì, 1
làm được gì, 1
Bạn có thể giúp được không, 1
Bạn có thể làm được những gì, 1
Bạn có thể giúp được gì cho tôi, 1
Tôi muốn lưu lại kiến thức, 2
Tôi muốn thêm kiến thức mới, 2
Tôi tạo kiến thức mới, 2
Mình muốn lưu lại kiến thức, 2
Mình muốn thêm kiến thức mới, 2
Mình tạo kiến thức mới, 2
Tớ muốn lưu lại kiến thức, 2
Tớ muốn thêm kiến thức mới, 2
Tớ tạo kiến thức mới, 2
Tớ muốn thêm một kiến thức, 2
Tớ tạo một kiến thức, 2
Tôi muốn thêm một kiến thức, 2
Tôi tạo một kiến thức, 2
Mình muốn thêm một kiến thức, 2
Mình tạo một kiến thức, 2
kiến thức , 2
Thư mục vật lý, 3
vật lý, 3
kiến thức vật lý, 3
có, 4
tôi có, 4
mình có, 4
tớ có, 4
ừ có, 4
ờ có, 4
không, 5
tôi không, 5
mình không, 5
tớ không, 5
ừ không, 5
ờ không, 5
